综合,#genre#
parse=1
劲爆体育,https://iptv807.com/?act=play&tid=itv&id=1
新视觉HD,https://iptv807.com/?act=play&tid=itv&id=2
五星体育,https://iptv807.com/?act=play&tid=itv&id=3
广东体育,https://iptv807.com/?act=play&tid=itv&id=4
广东珠江频道,https://iptv807.com/?act=play&tid=itv&id=5
CCTV1综合,https://iptv807.com/?act=play&tid=itv&id=7
CCTV2财经,https://iptv807.com/?act=play&tid=itv&id=8
CCTV3综艺,https://iptv807.com/?act=play&tid=itv&id=9
CCTV4中文国际,https://iptv807.com/?act=play&tid=itv&id=10
CCTV5体育,https://iptv807.com/?act=play&tid=itv&id=11
CCTV5+体育赛事,https://iptv807.com/?act=play&tid=itv&id=12
CCTV6电影,https://iptv807.com/?act=play&tid=itv&id=13
CCTV7国防军事,https://iptv807.com/?act=play&tid=itv&id=14
CCTV8电视剧,https://iptv807.com/?act=play&tid=itv&id=15
CCTV9纪录,https://iptv807.com/?act=play&tid=itv&id=16
CCTV10科教,https://iptv807.com/?act=play&tid=itv&id=17
CCTV11戏曲,https://iptv807.com/?act=play&tid=itv&id=18
CCTV12社会与法,https://iptv807.com/?act=play&tid=itv&id=19
CCTV13新闻,https://iptv807.com/?act=play&tid=itv&id=20
CCTV14少儿,https://iptv807.com/?act=play&tid=itv&id=21
CCTV15音乐,https://iptv807.com/?act=play&tid=itv&id=22
CCTV16奥林匹克,https://iptv807.com/?act=play&tid=itv&id=23
CCTV17农业农村,https://iptv807.com/?act=play&tid=itv&id=24
CCTV4k高清,https://iptv807.com/?act=play&tid=itv&id=25
CCTV8k高清,https://iptv807.com/?act=play&tid=itv&id=26
CCTV4欧洲HD,https://iptv807.com/?act=play&tid=itv&id=27
CCTV4美洲HD,https://iptv807.com/?act=play&tid=itv&id=28
CGTN,https://iptv807.com/?act=play&tid=itv&id=29
CGTN纪录,https://iptv807.com/?act=play&tid=itv&id=30
CCTV阿拉伯语,https://iptv807.com/?act=play&tid=itv&id=31
CCTV法语,https://iptv807.com/?act=play&tid=itv&id=32
CCTV西班牙语,https://iptv807.com/?act=play&tid=itv&id=33
CCTV俄语,https://iptv807.com/?act=play&tid=itv&id=34
CETV-1,https://iptv807.com/?act=play&tid=itv&id=35
湖南卫视,https://iptv807.com/?act=play&tid=itv&id=37
江苏卫视,https://iptv807.com/?act=play&tid=itv&id=38
浙江卫视,https://iptv807.com/?act=play&tid=itv&id=39
东方卫视,https://iptv807.com/?act=play&tid=itv&id=40
北京卫视,https://iptv807.com/?act=play&tid=itv&id=41
深圳卫视,https://iptv807.com/?act=play&tid=itv&id=42
广东卫视,https://iptv807.com/?act=play&tid=itv&id=43
安徽卫视,https://iptv807.com/?act=play&tid=itv&id=44
东南卫视,https://iptv807.com/?act=play&tid=itv&id=45
河北卫视,https://iptv807.com/?act=play&tid=itv&id=46
黑龙江卫视,https://iptv807.com/?act=play&tid=itv&id=47
湖北卫视,https://iptv807.com/?act=play&tid=itv&id=48
江西卫视,https://iptv807.com/?act=play&tid=itv&id=49
辽宁卫视,https://iptv807.com/?act=play&tid=itv&id=50
