=来龙去脉=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/c0e36b8129bf49b6ab9b52d76d8b8de4/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/f738e19c794e4ed79e4d1668ae6f261b/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/caeec93f53ec4a228ff2f4e62b7958b6/4000.m3u8
04,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/422c5e1d01f2454c9c2fc15c7ff0081c/4000.m3u8
05,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/765c5dbf9a314e39ab060f16219b6cfa/4000.m3u8
06,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/cf92fcd56fca49a998b0ca54daa5f55a/4000.m3u8
07,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/b5c98ac5efce407e8a4b6bef0566361d/4000.m3u8

=遇见最极致的中国=,#genre#
01极致冰原,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/74f9e4cd3b9b4b12b1606a507afcd15c/4000.m3u8
02瀚海狂沙,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/3a17ae4d81d7456ab2821cae9e16b068/4000.m3u8
03酷寒之门,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/697d134ac64a4c408aec70d793c2b371/4000.m3u8
04深谷秘境,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/40578ae3f77c4b3ba165ca2cc54bdaca/4000.m3u8
05奇幻峰林,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/a1691265309e45c3a93287e6fbc88126/4000.m3u8
06山河并流,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/9cdf4e56332c4ba8a7fd602e1dd336ab/4000.m3u8
07梦幻山海,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/2fac39610308445887e41acb35b5a7a8/4000.m3u8

=美丽中国说=,#genre#
成长中的陪伴,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/c7c0d1e32934488183da49f8e6e23363/4000.m3u8
沙洲奇缘,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/71b4a51f3b4c48a1894ca40cacca866e/4000.m3u8
高山精灵,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/bbfb8bb73f014b44835dc6bf740726b9/4000.m3u8
火山奇遇,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/3c9c431114aa4e89a2855d10a85c86cb/4000.m3u8
雨林王者,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ed937a07e02b4dbd9105b46e8db12ef9/4000.m3u8
高原生灵,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8eb0cca0f0774cbd82408240b5991e86/4000.m3u8
古老戈壁,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8cdd688b04e4495ba1635e218419d6f9/4000.m3u8
生态海岸,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ce31e9c00f35495b8b24f03186477b9a/4000.m3u8
白头叶猴,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/09099718b1574a8f83fae635357f7b9d/4000.m3u8
中国香港,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/675a7387d1e6455c92e71bcd614b6f5e/4000.m3u8

=蔚蓝之境=,#genre#
01季节的轮回,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/b58bb414ef034c619353b14a4fb5fde4/4000.m3u8
