央视,#genre#
CCTV1综合,http://8.152.209.201:1122/mg/migu.php?id=608807420
CCTV2财经,http://8.152.209.201:1122/mg/migu.php?id=631780532
CCTV3综艺,http://8.152.209.201:1122/mg/migu.php?id=624878271
CCTV4国际,http://8.152.209.201:1122/mg/migu.php?id=631780421
CCTV4欧洲,http://8.152.209.201:1122/mg/migu.php?id=608807419
CCTV4美洲,http://8.152.209.201:1122/mg/migu.php?id=608807416
CCTV5体育,http://8.152.209.201:1122/mg/migu.php?id=641886683
CCTV5+体育,http://8.152.209.201:1122/mg/migu.php?id=641886773
CCTV6电影,http://8.152.209.201:1122/mg/migu.php?id=624878396
CCTV7军事,http://8.152.209.201:1122/mg/migu.php?id=673168121
CCTV8电视剧,http://8.152.209.201:1122/mg/migu.php?id=624878356
CCTV9纪录,http://8.152.209.201:1122/mg/migu.php?id=673168140
CCTV10科教,http://8.152.209.201:1122/mg/migu.php?id=624878405
CCTV11戏曲,http://8.152.209.201:1122/mg/migu.php?id=667987558
CCTV12社会,http://8.152.209.201:1122/mg/migu.php?id=673168185
CCTV13新闻,http://8.152.209.201:1122/mg/migu.php?id=608807423
CCTV14少儿,http://8.152.209.201:1122/mg/migu.php?id=624878440
CCTV15音乐,http://8.152.209.201:1122/mg/migu.php?id=673168223
CCTV17农业,http://8.152.209.201:1122/mg/migu.php?id=673168256
CCTV老故事,http://8.152.209.201:1122/mg/migu.php?id=884121956
CCTV中学生,http://8.152.209.201:1122/mg/migu.php?id=708869532
CGTN,http://8.152.209.201:1122/mg/migu.php?id=609017205
CGTN纪录,http://8.152.209.201:1122/mg/migu.php?id=609006487
CGTN阿语,http://8.152.209.201:1122/mg/migu.php?id=609154345
CGTN西语,http://8.152.209.201:1122/mg/migu.php?id=609006450
CGTN法语,http://8.152.209.201:1122/mg/migu.php?id=609006476
CGTN俄语,http://8.152.209.201:1122/mg/migu.php?id=609006446
CETV1,http://8.152.209.201:1122/mg/migu.php?id=923287154
CETV2,http://8.152.209.201:1122/mg/migu.php?id=923287211
CETV4,http://8.152.209.201:1122/mg/migu.php?id=923287339

卫视,#genre#
兵团卫视,http://8.152.209.201:1122/mg/migu.php?id=956923145
东方卫视,http://8.152.209.201:1122/mg/migu.php?id=651632648
东南卫视,http://8.152.209.201:1122/mg/migu.php?id=849116810
广东卫视,http://8.152.209.201:1122/mg/migu.php?id=608831231
海南卫视,http://8.152.209.201:1122/mg/migu.php?id=947472502
海峡卫视,http://8.152.209.201:1122/mg/migu.php?id=849119120
河南卫视,http://8.152.209.201:1122/mg/migu.php?id=790187291
湖北卫视,http://8.152.209.201:1122/mg/migu.php?id=947472496
吉林卫视,http://8.152.209.201:1122/mg/migu.php?id=947472500
江苏卫视,http://8.152.209.201:1122/mg/migu.php?id=623899368
江西卫视,http://8.152.209.201:1122/mg/migu.php?id=783847495
辽宁卫视,http://8.152.209.201:1122/mg/migu.php?id=630291707
农林卫视,http://8.152.209.201:1122/mg/migu.php?id=956904896
青海卫视,http://8.152.209.201:1122/mg/migu.php?id=947472506
陕西卫视,http://8.152.209.201:1122/mg/migu.php?id=738910838
大湾区卫视,http://8.152.209.201:1122/mg/migu.php?id=608917627
山东教育卫视,http://8.152.209.201:1122/mg/migu.php?id=609154353

地方,#genre#
上海新闻综合,http://8.152.209.201:1122/mg/migu.php?id=651632657
上视东方影视,http://8.152.209.201:1122/mg/migu.php?id=617290047
江苏城市,http://8.152.209.201:1122/mg/migu.php?id=626064714
江苏国际,http://8.152.209.201:1122/mg/migu.php?id=626064674
江苏教育,http://8.152.209.201:1122/mg/migu.php?id=628008321
江苏影视,http://8.152.209.201:1122/mg/migu.php?id=626064697
江苏综艺,http://8.152.209.201:1122/mg/migu.php?id=626065193
江苏公共新闻,http://8.152.209.201:1122/mg/migu.php?id=626064693
优漫卡通,http://8.152.209.201:1122/mg/migu.php?id=626064703
南京新闻综合,http://8.152.209.201:1122/mg/migu.php?id=838109047
南京教科,http://8.152.209.201:1122/mg/migu.php?id=838153729
南京十八,http://8.152.209.201:1122/mg/migu.php?id=838151753
盐城新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731825
淮安新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731826
泰州新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731818
连云港新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731715
宿迁新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731832
徐州新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639731747
江阴新闻综合,http://8.152.209.201:1122/mg/migu.php?id=955227979
南通新闻综合,http://8.152.209.201:1122/mg/migu.php?id=955227985
宜兴新闻综合,http://8.152.209.201:1122/mg/migu.php?id=955227996
溧水新闻综合,http://8.152.209.201:1122/mg/migu.php?id=639737327
陕西银龄,http://8.152.209.201:1122/mg/migu.php?id=956909362
陕西都市青春,http://8.152.209.201:1122/mg/migu.php?id=956909358
陕西体育休闲,http://8.152.209.201:1122/mg/migu.php?id=956909356
陕西秦腔频道,http://8.152.209.201:1122/mg/migu.php?id=956909303
陕西新闻资讯,http://8.152.209.201:1122/mg/migu.php?id=956909289

特色,#genre#
财富天下,http://8.152.209.201:1122/mg/migu.php?id=956923159
经典香港电影,http://8.152.209.201:1122/mg/migu.php?id=625703337
抗战经典影片,http://8.152.209.201:1122/mg/migu.php?id=617432318
新片放映厅,http://8.152.209.201:1122/mg/migu.php?id=619495952
CHC影迷电影,http://8.152.209.201:1122/mg/migu.php?id=952383261
