央卫地方,#genre#
CCTV1,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV1
CCTV2,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV2
CCTV3,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV3
CCTV4,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV4
CCTV5,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV5
CCTV5+,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV5%2B
CCTV6,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV6
CCTV7,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV7
CCTV8,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV8
CCTV9,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV9
CCTV10,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV10
CCTV11,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV11
CCTV12,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV12
CCTV13,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV13
CCTV14,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV14
CCTV15,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV15
CCTV16,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV16
CCTV17,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV17
CCTV高尔夫球,http://156.253.12.5:932/tslive/IPTV.php?id=CCTV%E9%AB%98%E5%B0%94%E5%A4%AB%E7%90%83
中央新影-发现之旅,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%AD%E5%A4%AE%E6%96%B0%E5%BD%B1-%E5%8F%91%E7%8E%B0%E4%B9%8B%E6%97%85
中央新影-老故事,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%AD%E5%A4%AE%E6%96%B0%E5%BD%B1-%E8%80%81%E6%95%85%E4%BA%8B
中央新影-中学生,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%AD%E5%A4%AE%E6%96%B0%E5%BD%B1-%E4%B8%AD%E5%AD%A6%E7%94%9F
CETV1,http://156.253.12.5:932/tslive/IPTV.php?id=CETV1
CGTN,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN
CGTN阿语,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN%E9%98%BF%E8%AF%AD
CGTN俄语,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN%E4%BF%84%E8%AF%AD
CGTN法语,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN%E6%B3%95%E8%AF%AD
CGTN纪录,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN%E7%BA%AA%E5%BD%95
CGTN西语,http://156.253.12.5:932/tslive/IPTV.php?id=CGTN%E8%A5%BF%E8%AF%AD
CHC动作电影,http://156.253.12.5:932/tslive/IPTV.php?id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1
CHC家庭影院,http://156.253.12.5:932/tslive/IPTV.php?id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2
CHC影迷电影,http://156.253.12.5:932/tslive/IPTV.php?id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1
YMG未来,http://156.253.12.5:932/tslive/IPTV.php?id=YMG%E6%9C%AA%E6%9D%A5
安多卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%89%E5%A4%9A%E5%8D%AB%E8%A7%86
安徽固镇新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%89%E5%BE%BD%E5%9B%BA%E9%95%87%E6%96%B0%E9%97%BB
安徽卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%89%E5%BE%BD%E5%8D%AB%E8%A7%86
安顺新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%89%E9%A1%BA%E6%96%B0%E9%97%BB
巴彦淖尔新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B7%B4%E5%BD%A6%E6%B7%96%E5%B0%94%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
巴彦综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B7%B4%E5%BD%A6%E7%BB%BC%E5%90%88
白银综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%99%BD%E9%93%B6%E7%BB%BC%E5%90%88
拜泉综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%8B%9C%E6%B3%89%E7%BB%BC%E5%90%88
包头新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%85%E5%A4%B4%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
宝丰综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%9D%E4%B8%B0%E7%BB%BC%E5%90%88
宝清综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%9D%E6%B8%85%E7%BB%BC%E5%90%88
宝兴综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%9D%E5%85%B4%E7%BB%BC%E5%90%88
北安市综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E5%AE%89%E5%B8%82%E7%BB%BC%E5%90%88
北海经济科教,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E6%B5%B7%E7%BB%8F%E6%B5%8E%E7%A7%91%E6%95%99
北京财经,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E8%B4%A2%E7%BB%8F
北京纪实科教,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E7%BA%AA%E5%AE%9E%E7%A7%91%E6%95%99
北京生活,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E7%94%9F%E6%B4%BB
北京卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86
北京卫视4K,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%864K
北京文艺,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E6%96%87%E8%89%BA
北京钟鼓楼,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8C%97%E4%BA%AC%E9%92%9F%E9%BC%93%E6%A5%BC
宾阳综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AE%BE%E9%98%B3%E7%BB%BC%E5%90%88
滨海新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%A8%E6%B5%B7%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
兵团八师石河子教育,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%B5%E5%9B%A2%E5%85%AB%E5%B8%88%E7%9F%B3%E6%B2%B3%E5%AD%90%E6%95%99%E8%82%B2
兵团八师石河子经济生活,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%B5%E5%9B%A2%E5%85%AB%E5%B8%88%E7%9F%B3%E6%B2%B3%E5%AD%90%E7%BB%8F%E6%B5%8E%E7%94%9F%E6%B4%BB
兵团八师石河子新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%B5%E5%9B%A2%E5%85%AB%E5%B8%88%E7%9F%B3%E6%B2%B3%E5%AD%90%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
兵团卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86
勃利综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8B%83%E5%88%A9%E7%BB%BC%E5%90%88
亳州农村,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%BA%B3%E5%B7%9E%E5%86%9C%E6%9D%91
亳州新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%BA%B3%E5%B7%9E%E6%96%B0%E9%97%BB
苍南新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%8B%8D%E5%8D%97%E6%96%B0%E9%97%BB
苍南新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%8B%8D%E5%8D%97%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
藏语卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%97%8F%E8%AF%AD%E5%8D%AB%E8%A7%86
昌黎,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%98%8C%E9%BB%8E
昌黎综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%98%8C%E9%BB%8E%E7%BB%BC%E5%90%88
超级电视剧,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B6%85%E7%BA%A7%E7%94%B5%E8%A7%86%E5%89%A7
超级电影,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B6%85%E7%BA%A7%E7%94%B5%E5%BD%B1
超级综艺,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B6%85%E7%BA%A7%E7%BB%BC%E8%89%BA
成县综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%88%90%E5%8E%BF%E7%BB%BC%E5%90%88
池州文教,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%B1%A0%E5%B7%9E%E6%96%87%E6%95%99
池州综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%B1%A0%E5%B7%9E%E7%BB%BC%E5%90%88
赤峰新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B5%A4%E5%B3%B0%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
滁州公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%81%E5%B7%9E%E5%85%AC%E5%85%B1
滁州科教,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%81%E5%B7%9E%E7%A7%91%E6%95%99
滁州市广播电视台科教,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%81%E5%B7%9E%E5%B8%82%E5%B9%BF%E6%92%AD%E7%94%B5%E8%A7%86%E5%8F%B0%E7%A7%91%E6%95%99
滁州市广播电视台新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%81%E5%B7%9E%E5%B8%82%E5%B9%BF%E6%92%AD%E7%94%B5%E8%A7%86%E5%8F%B0%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
滁州新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%BB%81%E5%B7%9E%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
大庆新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%A4%A7%E5%BA%86%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
大通电视台,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%A4%A7%E9%80%9A%E7%94%B5%E8%A7%86%E5%8F%B0
大湾区卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86
大兴安岭新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%A4%A7%E5%85%B4%E5%AE%89%E5%B2%AD%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
郸城新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%83%B8%E5%9F%8E%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
德阳公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%BE%B7%E9%98%B3%E5%85%AC%E5%85%B1
德阳新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%BE%B7%E9%98%B3%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
登封综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%99%BB%E5%B0%81%E7%BB%BC%E5%90%88
邓州新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%82%93%E5%B7%9E%E6%96%B0%E9%97%BB
垫江综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%9E%AB%E6%B1%9F%E7%BB%BC%E5%90%88
东方卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86
东莞生活资讯,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E8%8E%9E%E7%94%9F%E6%B4%BB%E8%B5%84%E8%AE%AF
东莞新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E8%8E%9E%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
东莞综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E8%8E%9E%E7%BB%BC%E5%90%88
东南卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E5%8D%97%E5%8D%AB%E8%A7%86
东宁综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E5%AE%81%E7%BB%BC%E5%90%88
东阳影视生活,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E9%98%B3%E5%BD%B1%E8%A7%86%E7%94%9F%E6%B4%BB
东营综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%B8%9C%E8%90%A5%E7%BB%BC%E5%90%88
动漫秀场,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%8A%A8%E6%BC%AB%E7%A7%80%E5%9C%BA
都市剧场,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%83%BD%E5%B8%82%E5%89%A7%E5%9C%BA
都市频道,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%83%BD%E5%B8%82%E9%A2%91%E9%81%93
杜尔伯特综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%9D%9C%E5%B0%94%E4%BC%AF%E7%89%B9%E7%BB%BC%E5%90%88
鄂尔多斯新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E6%96%B0%E9%97%BB
方城一套,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%96%B9%E5%9F%8E%E4%B8%80%E5%A5%97
方正综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%96%B9%E6%AD%A3%E7%BB%BC%E5%90%88
汾西综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%B1%BE%E8%A5%BF%E7%BB%BC%E5%90%88
风云足球,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%A3%8E%E4%BA%91%E8%B6%B3%E7%90%83
封丘综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B0%81%E4%B8%98%E7%BB%BC%E5%90%88
佛山南海,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%BD%9B%E5%B1%B1%E5%8D%97%E6%B5%B7
佛山顺德,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%BD%9B%E5%B1%B1%E9%A1%BA%E5%BE%B7
佛山综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E4%BD%9B%E5%B1%B1%E7%BB%BC%E5%90%88
扶沟综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%89%B6%E6%B2%9F%E7%BB%BC%E5%90%88
福建电视剧,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E7%94%B5%E8%A7%86%E5%89%A7
福建东南卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E4%B8%9C%E5%8D%97%E5%8D%AB%E8%A7%86
福建公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E5%85%AC%E5%85%B1
福建旅游,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E6%97%85%E6%B8%B8
福建体育,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E4%BD%93%E8%82%B2
福建新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E6%96%B0%E9%97%BB
福建综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%BB%BA%E7%BB%BC%E5%90%88
福州生活,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%A6%8F%E5%B7%9E%E7%94%9F%E6%B4%BB
抚远综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E6%8A%9A%E8%BF%9C%E7%BB%BC%E5%90%88
阜阳都市,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%98%9C%E9%98%B3%E9%83%BD%E5%B8%82
阜阳教育,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%98%9C%E9%98%B3%E6%95%99%E8%82%B2
富锦综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AF%8C%E9%94%A6%E7%BB%BC%E5%90%88
富裕综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%AF%8C%E8%A3%95%E7%BB%BC%E5%90%88
甘南藏语,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%94%98%E5%8D%97%E8%97%8F%E8%AF%AD
甘南县综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%94%98%E5%8D%97%E5%8E%BF%E7%BB%BC%E5%90%88
甘南综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%94%98%E5%8D%97%E7%BB%BC%E5%90%88
甘肃卫视,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86
甘孜综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E7%94%98%E5%AD%9C%E7%BB%BC%E5%90%88
赣州公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B5%A3%E5%B7%9E%E5%85%AC%E5%85%B1
赣州教育,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B5%A3%E5%B7%9E%E6%95%99%E8%82%B2
赣州新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E8%B5%A3%E5%B7%9E%E6%96%B0%E9%97%BB
公共应急,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%AC%E5%85%B1%E5%BA%94%E6%80%A5
巩义新闻综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B7%A9%E4%B9%89%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
固始综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%9B%BA%E5%A7%8B%E7%BB%BC%E5%90%88
固镇新闻,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%9B%BA%E9%95%87%E6%96%B0%E9%97%BB
光山综合,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%85%89%E5%B1%B1%E7%BB%BC%E5%90%88
广安公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E5%AE%89%E5%85%AC%E5%85%B1
广德生活,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E5%BE%B7%E7%94%9F%E6%B4%BB
广东公共,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E4%B8%9C%E5%85%AC%E5%85%B1
广东经济科教,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E4%B8%9C%E7%BB%8F%E6%B5%8E%E7%A7%91%E6%95%99
广东民生,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E4%B8%9C%E6%B0%91%E7%94%9F
广东体育,http://156.253.12.5:932/tslive/IPTV.php?id=%E5%B9%BF%E4%B8%9C%E4%BD%93%E8%82%B2
