港澳,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
凤凰资讯,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-5-0.html
凤凰中文,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-4-0.html
凤凰香港,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-3-0.html
18赛马,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-35-0.html
HOY 76,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-15-0.html
HOY 77,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-14-0.html
HOY 78,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-7-0.html
HOY 78,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-9-0.html
NOW财经,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-17-0.html
NOW新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-18-0.html
RTHK31,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-8-0.html
TVB PLUS,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-25-0.html
TVB翡翠,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-0-0.html
TVB华丽,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-1-0.html
TVB明珠,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-12-0.html
TVB无线新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-30-0.html
TVB娱乐,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-34-0.html
VIUTV-英,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-26-0.html
VIUTV-粤,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-10-0.html
美亚电影,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-11-0.html


台湾,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
阿里郎,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-3-0.html
CNN新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-78-0.html
TVBS,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-164-0.html
TVBS新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-167-0.html
东森新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-21-0.html
东森财经,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-168-0.html
非凡商业,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-60-0.html
非凡新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-131-0.html
华视新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-141-0.html
寰宇新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-35-0.html
民视新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-161-0.html
镜新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-148-0.html
年代新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-43-0.html
台视新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-83-0.html
中天新闻,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-20-0.html
AMC电影,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-1-0.html
DNZA1,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-153-0.html
DNZA2,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-152-0.html
ELTA体育1,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-155-0.html
ELTA体育2,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-28-0.html
ELTA体育4,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-50-0.html
FGM电影,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-159-0.html
MOMOTV综合,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-53-0.html
SMART,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-133-0.html
TAIWAN+,http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-135-0.html
