=新闻=,#genre#
TVBS,http://php.jdshipin.com:8880/smt.php?id=tvbs
TVBS新闻,http://php.jdshipin.com:8880/smt.php?id=tvbs_n
东森新闻,http://php.jdshipin.com:8880/smt.php?id=ettvnews
东森财经,http://php.jdshipin.com:8880/smt.php?id=ettvcaijing_twn
非凡新闻,http://php.jdshipin.com:8880/smt.php?id=feifannews_twn
寰宇新闻,http://php.jdshipin.com:8880/smt.php?id=huanyuxinwen_twn
民视新闻,http://php.jdshipin.com:8880/smt.php?id=ftvnew_taiwan
年代新闻,http://php.jdshipin.com:8880/smt.php?id=niandainews_twn
台视新闻,http://php.jdshipin.com:8880/smt.php?id=ttvnews_twn
中视新闻,http://php.jdshipin.com:8880/smt.php?id=zhongshinews_twn
中天新闻,http://php.jdshipin.com:8880/smt.php?id=ctinews
中天亚洲,http://php.jdshipin.com:8880/smt.php?id=ctiasia_twn
ABC News,http://php.jdshipin.com:8880/smt.php?id=abcnews_glo
Al Jazeera,http://php.jdshipin.com:8880/smt.php?id=aljazeera_twn
BBC World News,http://php.jdshipin.com:8880/smt.php?id=Bbcnews
BBC World News,http://php.jdshipin.com:8880/smt.php?id=bbcnews_twn
BBC World News,http://php.jdshipin.com:8880/smt.php?id=bbcworldnews_antik
Bloomberg,http://php.jdshipin.com:8880/smt.php?id=bloomberg_twn
CBSN,http://php.jdshipin.com:8880/smt.php?id=cbshd_glo
CBSN,http://php.jdshipin.com:8880/smt.php?id=cbsn_glo
CNA,http://php.jdshipin.com:8880/smt.php?id=cna
CNA,http://php.jdshipin.com:8880/smt.php?id=cna_twn
CNBC,http://php.jdshipin.com:8880/smt.php?id=cnbc_twn
CNN,http://php.jdshipin.com:8880/smt.php?id=Cnn
CNN,http://php.jdshipin.com:8880/smt.php?id=cnn_twn
DW (Deutsch),http://php.jdshipin.com:8880/smt.php?id=dw_twn
Euronews,http://php.jdshipin.com:8880/smt.php?id=euronews_antik
Fox News,http://php.jdshipin.com:8880/smt.php?id=foxnews_twn
France 24,http://php.jdshipin.com:8880/smt.php?id=france24_twn
Skynews,http://php.jdshipin.com:8880/smt.php?id=skynews_antik
Arirang,http://php.jdshipin.com:8880/smt.php?id=arirang_twn
NHK World,http://php.jdshipin.com:8880/smt.php?id=nhkworld_japan


=英国=,#genre#
Animal Planet,http://php.jdshipin.com:8880/smt.php?id=AnimalPlanet
AXN,http://php.jdshipin.com:8880/smt.php?id=Axn
BBC 1,http://php.jdshipin.com:8880/smt.php?id=bbc1_antik
BBC 2,http://php.jdshipin.com:8880/smt.php?id=bbc2_antik
BBC CBeebies,http://php.jdshipin.com:8880/smt.php?id=Cbeebies
BBC Earth,http://php.jdshipin.com:8880/smt.php?id=bbcearth_twn
BBC Lifestyle,http://php.jdshipin.com:8880/smt.php?id=bbclifestyle_twn
Boomerang,http://php.jdshipin.com:8880/smt.php?id=Boomerang
CBBC,http://php.jdshipin.com:8880/smt.php?id=cbbc_antik
Channel 4,http://php.jdshipin.com:8880/smt.php?id=channel4_antik
Freesports,http://php.jdshipin.com:8880/smt.php?id=freesports_antik
Global Trekker,http://php.jdshipin.com:8880/smt.php?id=Natgeo
HBO,http://php.jdshipin.com:8880/smt.php?id=Hbo
HGTV,http://php.jdshipin.com:8880/smt.php?id=HGTV
History,http://php.jdshipin.com:8880/smt.php?id=History
Hits Movie,http://php.jdshipin.com:8880/smt.php?id=Hitsmovie
itv 1,http://php.jdshipin.com:8880/smt.php?id=itv1_antik
itv 2,http://php.jdshipin.com:8880/smt.php?id=itv2_antik
Kids TV,http://php.jdshipin.com:8880/smt.php?id=KidsTV
More4,http://php.jdshipin.com:8880/smt.php?id=more4_antik
NatGeo Wild,http://php.jdshipin.com:8880/smt.php?id=Natgeowild
Nick Jr,http://php.jdshipin.com:8880/smt.php?id=Nickjr
Nickelodeon,http://php.jdshipin.com:8880/smt.php?id=Nickelodeon
Pick TV,http://php.jdshipin.com:8880/smt.php?id=picktv_antik
Skysports Arena,http://php.jdshipin.com:8880/smt.php?id=tiankongarena
Skysports Cricket,http://php.jdshipin.com:8880/smt.php?id=tiankongcricket
Skysports F1,http://php.jdshipin.com:8880/smt.php?id=tiankongf1
Skysports Football,http://php.jdshipin.com:8880/smt.php?id=tiankongfootball
Skysports Golf,http://php.jdshipin.com:8880/smt.php?id=tiankonggolf
Skysports Main Event,http://php.jdshipin.com:8880/smt.php?id=tiankongmain
Skysports News,http://php.jdshipin.com:8880/smt.php?id=tiankongnews
Skysports PL英超,http://php.jdshipin.com:8880/smt.php?id=tiankongepl
Star Movies,http://php.jdshipin.com:8880/smt.php?id=starmovies_raj
TLC,http://php.jdshipin.com:8880/smt.php?id=Tlc
Warner TV,http://php.jdshipin.com:8880/smt.php?id=WarnerTV


=香港=,#genre#
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
TVB Plus,http://php.jdshipin.com:8880/smt.php?id=j2_hkdavid
TVB Plus,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB翡翠,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB翡翠,http://php.jdshipin.com:8880/smt.php?id=jade_mike
TVB翡翠,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB明珠,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB明珠,http://php.jdshipin.com:8880/smt.php?id=pearl_hkdavid
TVB千禧经典,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
TVB无线财经,http://php.jdshipin.com:8880/smt.php?id=tvbcaijing_twn
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=tvbxinhe_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB娱乐新闻,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV6,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
VIUTV69,http://php.jdshipin.com:8880/smt.php?id=viutv69_hkdavid


=台湾=,#genre#
AFN亚洲美食,http://php.jdshipin.com:8880/smt.php?id=afc_twn
AXN Taiwan,http://php.jdshipin.com:8880/smt.php?id=axn_twn
Baby TV Eng,http://php.jdshipin.com:8880/smt.php?id=Babytv
Baby TV,http://php.jdshipin.com:8880/smt.php?id=babytv_twn
Boomerang Taiwan,http://php.jdshipin.com:8880/smt.php?id=boomerang_twn
CATCHPLAY,http://php.jdshipin.com:8880/smt.php?id=catchplay_twn
CI,http://php.jdshipin.com:8880/smt.php?id=ci_twn
CINEMAX,http://php.jdshipin.com:8880/smt.php?id=cinemax_twn
CN卡通,http://php.jdshipin.com:8880/smt.php?id=momo1_twn
Discovery Asia,http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
Disney Taiwan,http://php.jdshipin.com:8880/smt.php?id=disneytwn_twn
DMAX,http://php.jdshipin.com:8880/smt.php?id=discoveryhd_twn
DMAX,http://php.jdshipin.com:8880/smt.php?id=natgeohd_twn
EYETV 旅游,http://php.jdshipin.com:8880/smt.php?id=eyetvtravel_twn
EYETV 戏剧,http://php.jdshipin.com:8880/smt.php?id=eyetvxiju_twn
Fashion TV,http://php.jdshipin.com:8880/smt.php?id=fashiontv_twn
FTV影剧,http://php.jdshipin.com:8880/smt.php?id=toptv_twn
HBO Family,http://php.jdshipin.com:8880/smt.php?id=Hbofamily
HBO HD,http://php.jdshipin.com:8880/smt.php?id=hbohd_twn
HBO Hits,http://php.jdshipin.com:8880/smt.php?id=hbohits_twn
Hollywood,http://php.jdshipin.com:8880/smt.php?id=hollywoodmovies_twn
Moonbug,http://php.jdshipin.com:8880/smt.php?id=MiaoMi
MTV Live,http://php.jdshipin.com:8880/smt.php?id=mtvhd_twn
TLC旅游,http://php.jdshipin.com:8880/smt.php?id=tlc_twn
TVBS 欢乐,http://php.jdshipin.com:8880/smt.php?id=tvbshuanle_twn
爱尔达体育2,http://php.jdshipin.com:8880/smt.php?id=eltasport2_twn
爱尔达体育3,http://php.jdshipin.com:8880/smt.php?id=eltasport3_twn
爱尔达体育4,http://php.jdshipin.com:8880/smt.php?id=natgeowild_twn
爱尔达影剧,http://php.jdshipin.com:8880/smt.php?id=eltayingju_twn
爱尔达综合,http://php.jdshipin.com:8880/smt.php?id=eltazonghe_twn
八大第一,http://php.jdshipin.com:8880/smt.php?id=badafirst
八大戏剧,http://php.jdshipin.com:8880/smt.php?id=badadrama
八大娱乐,http://php.jdshipin.com:8880/smt.php?id=badaentertain
八大综合,http://php.jdshipin.com:8880/smt.php?id=badazhonghe
博斯高球2,http://php.jdshipin.com:8880/smt.php?id=bosigolf2_twn
博斯网球,http://php.jdshipin.com:8880/smt.php?id=bositennis_twn
博斯无限,http://php.jdshipin.com:8880/smt.php?id=bosiunlimited_twn
博斯运动 1,http://php.jdshipin.com:8880/smt.php?id=bosisport1_twn
博斯运动 2,http://php.jdshipin.com:8880/smt.php?id=bosisport2_twn
大爱,http://php.jdshipin.com:8880/smt.php?id=daai_twn
东风37,http://php.jdshipin.com:8880/smt.php?id=aziotv_twn
